                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
slay08h                       1.00=   594.00-  1.00=  1.00=     873672.00-  4253161.00-    4253161.00-
slay08m                       1.00=   577.00-  1.00=  1.00=      79248.00-     5603.00-      79248.00-
slay09h                       1.00=   317.00-  1.00=  1.00=    2704018.00-  3570644.00-    3570644.00-
slay09m                       1.00=  1072.00-  1.00=  1.00=     539931.00-   315853.00-     539931.00-
slay10h                       1.00=   264.00-  1.00=  1.00=   49863461.00-  3054424.00-   49863461.00-
slay10m                       1.00=   228.00-  1.00=  1.00=   16107136.00-   958328.00-   16107136.00-
smallinvDAXr1b010-011         1.00=    57.00-  1.00=  1.00=     310017.00-     1190.00-     310017.00-
smallinvDAXr1b020-022         1.00=    55.00-  1.00=  1.00=    1095330.00-      567.00-    1095330.00-
smallinvDAXr1b050-055         1.00=    86.00-  1.00=  1.00=     660548.00-     1058.00-     660548.00-
smallinvDAXr1b100-110         1.00=    95.00-  1.00=  1.00=    1076172.00-      957.00-    1076172.00-
smallinvDAXr1b150-165         1.00=   127.00-  1.00=  1.00=     211920.00-     2773.00-     211920.00-
smallinvDAXr1b200-220         1.00=   106.00-  1.00=  1.00=     256648.00-     1379.00-     256648.00-
smallinvDAXr2b010-011         1.00=    57.00-  1.00=  1.00=     345028.00-     1180.00-     345028.00-
smallinvDAXr2b020-022         1.00=    55.00-  1.00=  1.00=    1473476.00-      564.00-    1473476.00-
smallinvDAXr2b050-055         1.00=    86.00-  1.00=  1.00=     746222.00-     1057.00-     746222.00-
smallinvDAXr2b100-110         1.00=   100.00-  1.00=  1.00=    1304332.00-      959.00-    1304332.00-
smallinvDAXr2b150-165         1.00=   127.00-  1.00=  1.00=     339861.00-     2773.00-     339861.00-
smallinvDAXr2b200-220         1.00=   106.00-  1.00=  1.00=     246302.00-     1381.00-     246302.00-
smallinvDAXr3b010-011         1.00=    69.00-  1.00=  1.00=     276840.00-     1180.00-     276840.00-
smallinvDAXr3b020-022         1.00=    56.00-  1.00=  1.00=     865636.00-      565.00-     865636.00-
smallinvDAXr3b050-055         1.00=    85.00-  1.00=  1.00=     451200.00-     1059.00-     451200.00-
smallinvDAXr3b100-110         1.00=   100.00-  1.00=  1.00=    1146037.00-      960.00-    1146037.00-
smallinvDAXr3b150-165         1.00=   124.00-  1.00=  1.00=     227701.00-     2778.00-     227701.00-
smallinvDAXr3b200-220         1.00=   104.00-  1.00=  1.00=     251714.00-     1379.00-     251714.00-
smallinvDAXr4b010-011         1.00=    74.00-  1.00=  1.00=     282233.00-     1181.00-     282233.00-
smallinvDAXr4b020-022         1.00=    73.00-  1.00=  1.00=     935759.00-      565.00-     935759.00-
smallinvDAXr4b050-055         1.00=    94.00-  1.00=  1.00=     565676.00-     1059.00-     565676.00-
smallinvDAXr4b100-110         1.00=   100.00-  1.00=  1.00=    1461589.00-      958.00-    1461589.00-
smallinvDAXr4b150-165         1.00=   121.00-  1.00=  1.00=     282163.00-     2774.00-     282163.00-
smallinvDAXr4b200-220         1.00=   109.00-  1.00=  1.00=     252099.00-     1381.00-     252099.00-
smallinvDAXr5b010-011         1.00=    68.00-  1.00=  1.00=     310075.00-     1181.00-     310075.00-
smallinvDAXr5b020-022         1.00=    71.00-  1.00=  1.00=    1135752.00-      562.00-    1135752.00-
smallinvDAXr5b050-055         1.00=    82.00-  1.00=  1.00=     543779.00-     1062.00-     543779.00-
smallinvDAXr5b100-110         1.00=   100.00-  1.00=  1.00=    1144544.00-      960.00-    1144544.00-
smallinvDAXr5b150-165         1.00=   125.00-  1.00=  1.00=     313945.00-     2773.00-     313945.00-
smallinvDAXr5b200-220         1.00=   107.00-  1.00=  1.00=     212698.00-     1380.00-     212698.00-
squfl010-025                  1.00=  1823.00-  1.00=  1.00=     456688.00-     2910.00-     456688.00-
squfl010-040                  1.00=  1141.00-  1.00=  1.00=    1274981.00-     2253.00-    1274981.00-
squfl010-080                  1.00=   956.00-  1.00=  1.00=   16446246.00-     9544.00-   16446246.00-
squfl015-060                  1.00=   640.00-  1.00=  1.00=   20755494.00-    42290.00-   20755494.00-
squfl015-080                  1.00=   552.00-  1.00=  1.00=   23235646.00-    71762.00-   23235646.00-
squfl020-040                  1.00=   735.00-  1.00=  1.00=   18990472.00-    16781.00-   18990472.00-
squfl020-050                  1.00=   738.00-  1.00=  1.00=   19541934.00-    76115.00-   19541934.00-
squfl025-025                  1.00=  1121.00-  1.00=  1.00=   23393291.00-    37016.00-   23393291.00-
squfl025-030                  1.00=   676.00-  1.00=  1.00=   15837186.00-    51076.00-   15837186.00-
squfl025-040                  1.00=  1090.00-  1.00=  1.00=   21859429.00-   198196.00-   21859429.00-
squfl030-150                  1.00=   442.00-  1.00=  1.00=    8820298.00-    73811.00-    8820298.00-
sssd08-04                     1.00=    45.00-  1.00=  1.00=      43578.00-  3400057.00-    3400057.00-
st_e14                        1.00=    47.00-  1.00=  1.00=        163.00-       98.00-        163.00-
st_miqp1                      1.00=    10.00-  1.00=  1.00=         35.00-       51.00-         51.00-
st_miqp2                      1.00=    15.00-  1.00=  1.00=         69.00-       48.00-         69.00-
st_miqp3                      1.00=    10.00-  1.00=  1.00=          4.00-        4.00-         10.00-
st_miqp5                      1.00=    40.00-  1.00=  1.00=         11.00-       11.00-         40.00-
st_test1                      1.00=    14.00-  1.00=  1.00=        109.00-       65.00-        109.00-
st_test5                      1.00=     8.00-  1.00=  1.00=         27.00-      158.00-        158.00-
st_test6                      1.00=     9.00-  1.00=  1.00=         26.00-      275.00-        275.00-
st_test8                      1.00=    19.00-  1.00=  1.00=         34.00-       17.00-         34.00-
st_testgr1                    1.00=    38.00-  1.00=  1.00=       4233.00-      415.00-       4233.00-
st_testgr3                    1.00=    24.00-  1.00=  1.00=        116.00-     1074.00-       1074.00-
st_testph4                    1.00=     9.00-  1.00=  1.00=         15.00-       34.00-         34.00-
stockcycle                    1.00=   163.00-  1.00=  1.00=    1776737.00-  3168592.00-    3168592.00-
syn05hfsg                     1.00=    18.00-  1.00=  1.00=         55.00-       55.00-         55.00-
syn05h                        1.00=    18.00-  1.00=  1.00=         44.00-       38.00-         44.00-
